,0
639,513552
640,513520
641,513520
642,513520
643,513536
644,513520
645,513504
646,513504
647,513536
648,513520
649,513536
650,513536
651,513536
652,513520
653,513520
654,513520
655,513520
656,513520
657,513520
658,513520
659,513520
660,513504
661,513504
662,513504
663,513520
664,513488
665,513520
666,513520
667,513504
668,513536
669,513520
670,513520
671,513520
672,513504
673,513520
674,513520
675,513520
676,513488
677,513536
678,513520
679,513520
680,513504
681,513504
682,513504
683,513488
684,513520
685,513504
686,513488
687,513520
688,513504
689,513504
690,513520
691,513504
692,513536
693,513536
694,513536
695,513536
696,513504
697,513504
698,513536
699,513536
700,513504
701,513520
702,513520
703,513504
704,513520
705,513488
706,513504
707,513520
708,513520
709,513504
710,513536
711,513536
712,513520
713,513504
714,513520
715,513520
716,513520
717,513504
718,513520
719,513536
720,513520
721,513504
722,513504
723,513504
724,513520
725,513520
726,513504
727,513488
728,513536
729,513504
730,513504
731,513520
732,513504
733,513520
734,513520
735,513520
736,513504
737,513504
738,513504
739,513504
740,513504
741,513552
742,513520
743,513520
744,513504
745,513520
746,513520
747,513504
748,513520
749,513536
750,513520
751,513504
752,513520
753,513536
754,513504
755,513536
756,513520
757,513536
758,513504
759,513504
760,513536
761,513504
762,513504
763,513520
764,513520
765,513504
766,513536
767,513504
768,513536
769,513520
770,513520
771,513520
772,513504
773,513520
774,513504
775,513520
776,513504
777,513536
778,513520
779,513520
780,513520
781,513504
782,513536
783,513504
784,513520
785,513520
786,513520
787,513520
788,513504
789,513520
790,513504
791,513520
792,513488
793,513536
794,513504
795,513520
796,513520
797,513520
798,513472
799,513520
800,513504
801,513488
802,513504
803,513504
804,513504
805,513520
806,513520
807,513536
808,513504
809,513504
810,513504
811,513520
812,513536
813,513488
814,513504
815,513504
816,513488
817,513488
818,513520
819,513504
820,513504
821,513504
822,513504
823,513520
824,513504
825,513536
826,513520
827,513536
828,513488
829,513504
830,513472
831,513504
832,513520
833,513488
834,513504
835,513520
836,513504
837,513520
838,513520
839,513520
840,513520
841,513520
842,513504
843,513520
844,513520
845,513504
846,513504
847,513504
848,513536
849,513504
850,513504
851,513520
852,513520
853,513520
854,513504
855,513504
856,513520
857,513520
858,513504
859,513504
860,513520
861,513488
862,513504
863,513504
864,513520
865,513520
866,513520
867,513504
868,513536
869,513504
870,513504
871,513504
872,513504
873,513488
874,513520
875,513520
876,513504
877,513488
878,513520
879,513520
880,513520
881,513520
882,513520
883,513504
884,513504
885,513536
886,513520
887,513504
888,513520
889,513488
890,513504
891,513504
892,513520
893,513504
894,513504
895,513504
896,513504
897,513520
898,513520
899,513536
900,513488
901,513520
902,513536
903,513520
904,513520
905,513536
906,513520
907,513504
908,513504
909,513504
910,513552
911,513536
912,513504
913,513520
914,513472
915,513536
916,513520
917,513504
918,513504
919,513536
920,513520
921,513488
922,513520
923,513504
924,513504
925,513520
926,513504
927,513520
928,513520
929,513504
930,513520
931,513520
932,513504
933,513536
934,513520
935,513504
936,513504
937,513520
938,513504
939,513520
940,513520
941,513504
942,513520
943,513520
944,513504
945,513520
946,513504
947,513536
948,513536
949,513536
950,513520
951,513520
952,513536
953,513520
954,513504
955,513520
956,513536
957,513520
958,513536
959,513504
960,513520
961,513520
962,513520
963,513472
964,513504
965,513504
966,513488
967,513520
968,513536
969,513520
970,513488
971,513504
972,513504
973,513504
974,513536
975,513520
976,513520
977,513504
978,513488
979,513520
980,513504
981,513504
982,513504
983,513520
984,513520
985,513520
986,513536
987,513520
988,513504
989,513520
990,513504
991,513488
992,513504
993,513504
994,513504
995,513520
996,513520
997,513520
998,513520
999,513488
1000,513552
1001,513504
1002,513520
1003,513520
1004,513488
1005,513504
1006,513520
1007,513520
1008,513504
1009,513536
1010,513504
1011,513520
1012,513504
1013,513536
1014,513536
1015,513536
1016,513504
1017,513520
1018,513520
1019,513520
1020,513520
1021,513536
1022,513536
1023,513504
