,0
639,537728
640,537744
641,537728
642,537744
643,537728
644,537728
645,537728
646,537728
647,537712
648,537744
649,537744
650,537744
651,537728
652,537744
653,537760
654,537728
655,537728
656,537728
657,537744
658,537744
659,537760
660,537728
661,537744
662,537728
663,537728
664,537728
665,537728
666,537760
667,537728
668,537712
669,537728
670,537744
671,537728
672,537760
673,537728
674,537744
675,537712
676,537744
677,537776
678,537760
679,537728
680,537776
681,537728
682,537728
683,537728
684,537744
685,537728
686,537760
687,537728
688,537728
689,537744
690,537744
691,537744
692,537744
693,537728
694,537728
695,537744
696,537760
697,537760
698,537728
699,537712
700,537728
701,537744
702,537728
703,537744
704,537728
705,537744
706,537760
707,537712
708,537744
709,537760
710,537744
711,537744
712,537744
713,537744
714,537728
715,537744
716,537712
717,537744
718,537744
719,537760
720,537760
721,537728
722,537744
723,537744
724,537760
725,537728
726,537760
727,537728
728,537760
729,537760
730,537728
731,537728
732,537728
733,537744
734,537744
735,537728
736,537760
737,537712
738,537728
739,537776
740,537728
741,537744
742,537744
743,537728
744,537744
745,537760
746,537760
747,537728
748,537728
749,537744
750,537728
751,537760
752,537712
753,537744
754,537760
755,537744
756,537744
757,537744
758,537744
759,537760
760,537728
761,537728
762,537744
763,537728
764,537760
765,537728
766,537744
767,537728
768,537728
769,537728
770,537728
771,537696
772,537728
773,537760
774,537744
775,537728
776,537728
777,537760
778,537712
779,537744
780,537744
781,537744
782,537744
783,537744
784,537728
785,537760
786,537728
787,537744
788,537744
789,537744
790,537728
791,537728
792,537744
793,537728
794,537728
795,537728
796,537760
797,537760
798,537744
799,537744
800,537760
801,537760
802,537728
803,537744
804,537760
805,537744
806,537744
807,537728
808,537728
809,537712
810,537728
811,537760
812,537728
813,537728
814,537728
815,537728
816,537776
817,537760
818,537760
819,537744
820,537744
821,537760
822,537728
823,537776
824,537760
825,537728
826,537712
827,537728
828,537744
829,537744
830,537728
831,537744
832,537712
833,537760
834,537744
835,537760
836,537760
837,537728
838,537744
839,537776
840,537744
841,537728
842,537728
843,537728
844,537728
845,537744
846,537744
847,537728
848,537728
849,537712
850,537744
851,537744
852,537712
853,537728
854,537744
855,537760
856,537744
857,537728
858,537728
859,537760
860,537744
861,537744
862,537760
863,537728
864,537728
865,537728
866,537728
867,537760
868,537744
869,537728
870,537760
871,537728
872,537744
873,537728
874,537760
875,537728
876,537712
877,537728
878,537728
879,537760
880,537728
881,537728
882,537744
883,537728
884,537744
885,537744
886,537760
887,537728
888,537744
889,537728
890,537760
891,537744
892,537744
893,537728
894,537760
895,537744
896,537728
897,537744
898,537728
899,537744
900,537744
901,537712
902,537728
903,537728
904,537760
905,537744
906,537744
907,537744
908,537744
909,537760
910,537728
911,537728
912,537744
913,537728
914,537728
915,537744
916,537776
917,537776
918,537744
919,537744
920,537728
921,537728
922,537744
923,537728
924,537728
925,537744
926,537728
927,537728
928,537760
929,537776
930,537728
931,537744
932,537744
933,537728
934,537728
935,537760
936,537728
937,537712
938,537760
939,537728
940,537728
941,537760
942,537728
943,537728
944,537760
945,537760
946,537744
947,537744
948,537744
949,537760
950,537728
951,537728
952,537760
953,537744
954,537728
955,537728
956,537728
957,537728
958,537744
959,537760
960,537712
961,537776
962,537760
963,537744
964,537728
965,537760
966,537760
967,537760
968,537760
969,537744
970,537728
971,537696
972,537728
973,537728
974,537792
975,537728
976,537760
977,537744
978,537744
979,537760
980,537760
981,537728
982,537728
983,537744
984,537728
985,537728
986,537760
987,537728
988,537712
989,537728
990,537712
991,537744
992,537760
993,537744
994,537728
995,537728
996,537744
997,537760
998,537744
999,537728
1000,537728
1001,537760
1002,537728
1003,537744
1004,537728
1005,537744
1006,537760
1007,537728
1008,537760
1009,537760
1010,537744
1011,537728
1012,537760
1013,537744
1014,537728
1015,537728
1016,537728
1017,537744
1018,537728
1019,537760
1020,537712
1021,537728
1022,537744
1023,537744
1024,537744
1025,537776
1026,537728
1027,537744
1028,537744
1029,537744
1030,537728
1031,537728
1032,537744
1033,537728
1034,537744
1035,537728
1036,537744
1037,537760
1038,537728
1039,537728
1040,537760
1041,537728
1042,537744
1043,537744
1044,537712
1045,537728
1046,537728
1047,537792
1048,537712
1049,537744
1050,537728
1051,537728
1052,537744
1053,537728
1054,537744
1055,537728
1056,537744
1057,537760
1058,537744
1059,537744
1060,537728
1061,537744
1062,537760
1063,537744
1064,537712
1065,537728
1066,537744
1067,537744
1068,537744
1069,537728
1070,537728
1071,537712
1072,537728
1073,537760
1074,537760
1075,537728
1076,537744
1077,537744
1078,537744
1079,537744
1080,537760
1081,537744
1082,537744
1083,537728
1084,537760
1085,537760
1086,537728
1087,537744
1088,537744
1089,537728
1090,537728
1091,537728
1092,537728
1093,537744
1094,537728
1095,537744
1096,537744
1097,537744
1098,537728
1099,537712
1100,537744
1101,537760
1102,537744
1103,537728
1104,537728
1105,537744
1106,537728
1107,537760
1108,537760
1109,537744
1110,537744
1111,537744
1112,537744
1113,537744
1114,537728
1115,537728
1116,537728
1117,537760
